time,open,high,low,close,volume,
1.63E+12,48964.63,48966.04,48943.32,48943.33,10.54416,
1.63E+12,48943.32,48997.4,48943.32,48995.69,19.79166,
1.63E+12,48995.69,48997.83,48986.72,48991.51,11.23496,
1.63E+12,48991.52,49014.38,48990.61,49013.98,9.12822,
1.63E+12,49013.98,49016.22,48975.92,48979.37,18.04669,
1.63E+12,48979.38,48980.83,48959.18,48959.19,9.65187,
1.63E+12,48959.19,48959.19,48933.69,48940.93,9.75753,
1.63E+12,48940.93,48959.19,48935.37,48954.12,7.45051,
1.63E+12,48954.13,48956.39,48940.01,48943.24,5.14009,
1.63E+12,48943.25,48961.16,48930.5,48953.62,8.10134,
1.63E+12,48953.62,48988.62,48953.62,48980.41,8.29147,
1.63E+12,48980.4,49009.98,48978.85,49005.7,12.8814,
1.63E+12,49002.09,49005.71,48992.82,48999.42,7.59211,
1.63E+12,48999.42,49022.88,48985,49004.23,14.39694,
1.63E+12,49004.23,49006.35,48979.84,48985.02,11.78026,
1.63E+12,48985.03,48985.03,48965.65,48965.66,3.17435,
1.63E+12,48965.66,48992.96,48958.42,48990.67,7.06793,
1.63E+12,48990.68,49000,48985.05,49000,9.85351,
1.63E+12,48999.99,49015.16,48980,48984.8,5.7384,
1.63E+12,48984.8,48987.14,48975.48,48977.01,3.46462,
1.63E+12,48977.01,48977.01,48942.56,48954.66,9.78455,
1.63E+12,48954.67,48960,48928.96,48931.42,11.20529,
1.63E+12,48931.42,48935,48920.3,48927.61,13.67929,
1.63E+12,48927.61,48945,48913.92,48918.17,25.50456,
1.63E+12,48918.17,48918.17,48903.62,48905,6.56647,
1.63E+12,48904.99,48931.94,48900,48900.11,10.30727,
1.63E+12,48900.12,48908.67,48880.74,48880.75,13.62778,
1.63E+12,48880.74,48895.21,48877.55,48888.91,10.53067,
1.63E+12,48888.91,48914.43,48888.91,48903.65,11.0799,
1.63E+12,48903.65,48945.1,48903.65,48927.75,9.57045,
1.63E+12,48927.75,48928.48,48901.45,48904.31,4.30212,
1.63E+12,48904.3,48950,48904.3,48948.41,10.01638,
1.63E+12,48943.24,48956.12,48936.5,48948.36,12.51871,
1.63E+12,48948.36,48962.71,48948.35,48955.52,8.88254,
1.63E+12,48955.52,48965.25,48935.68,48953.64,4.73102,
1.63E+12,48953.64,48966.46,48944.66,48950,4.90787,
1.63E+12,48950,48974,48950,48973.99,6.5651,
1.63E+12,48973.99,48997.85,48969.99,48996.87,15.65902,
1.63E+12,48996.88,48996.88,48989.04,48992.52,4.99494,
1.63E+12,48992.51,49013.91,48990,49007.78,13.14145,
1.63E+12,49007.77,49013.16,48990.01,49011.27,12.24874,
1.63E+12,49011.27,49013.79,49001.01,49011.69,8.96526,
1.63E+12,49011.7,49013.91,48991.54,49004.27,30.61204,
1.63E+12,49004.28,49024.55,49004.27,49015.79,5.06957,
1.63E+12,49015.8,49015.8,48990.01,48996.08,7.80555,
1.63E+12,48996.08,49008.64,48978.05,49004.01,9.42327,
1.63E+12,49004.01,49004.02,48981.23,48985.73,5.73159,
1.63E+12,48985.72,48985.72,48971.22,48979.07,5.35218,
1.63E+12,48979.07,48998.98,48956.91,48985.71,26.05482,
1.63E+12,48985.71,49003,48978.95,49003,27.72414,
1.63E+12,49002.99,49003,48984.05,48991.31,7.86486,
1.63E+12,48991.31,49013.1,48990,49011.62,8.62608,
1.63E+12,49011.62,49011.63,48969.27,48973.73,8.19569,
1.63E+12,48973.73,48983.01,48964.76,48968.52,13.90319,
1.63E+12,48968.51,48981.96,48956.19,48975.38,8.6238,
1.63E+12,48975.38,48976.31,48953.65,48974.46,14.70677,
1.63E+12,48974.46,49020,48971.66,48986.34,11.50269,
1.63E+12,48986.33,48990.92,48971.66,48971.67,5.32653,
1.63E+12,48971.66,48981.78,48955.34,48956.7,14.07192,
1.63E+12,48956.69,48967.85,48953.6,48956.03,4.18504,
1.63E+12,48956.02,48956.03,48952.35,48952.36,4.12097,
1.63E+12,48952.36,48981.98,48897,48905.57,43.56983,
1.63E+12,48905.57,48918.37,48890,48897.27,24.12157,
1.63E+12,48897.27,48906.78,48882.37,48883.29,10.92346,
1.63E+12,48883.29,48893.93,48859.88,48889.51,19.10395,
1.63E+12,48889.51,48908,48880,48884.68,11.57424,
1.63E+12,48884.69,48924.56,48884,48924.55,10.79039,
1.63E+12,48924.56,48930,48899.05,48929.99,15.35806,
